customerID,SeniorCitizen,gender,tenure,MonthlyCharges,Contract,InternetService,TechSupport,TotalCharges,Churn
7590-VHVEG,0,Female,1,29.85,Month-to-month,DSL,No,29.85,No
5575-GNVDE,0,Male,34,56.95,One year,DSL,No,1889.5,No
3668-QPYBK,0,Male,2,53.85,Month-to-month,DSL,No,108.15,Yes
7795-CFOCW,0,Male,45,42.3,One year,DSL,Yes,1840.75,No
9237-HQITU,0,Female,2,70.7,Month-to-month,Fiber optic,No,151.65,Yes
9305-CDSKC,0,Female,8,99.65,Month-to-month,Fiber optic,No,820.5,Yes
1452-KIOVK,0,Male,22,89.1,Month-to-month,Fiber optic,No,1949.4,No
6713-OKOMC,0,Female,10,29.75,Month-to-month,DSL,No,301.9,No
7892-POOKP,0,Female,28,104.8,Month-to-month,Fiber optic,Yes,3046.05,Yes
6388-TABGU,0,Male,62,56.15,One year,DSL,No,3487.95,No
9763-GRSKD,0,Male,13,49.95,Month-to-month,DSL,No,587.45,No
7469-LKBCI,0,Male,16,18.95,Two year,No,No internet service,326.8,No
8091-TTVAX,0,Male,58,100.35,One year,Fiber optic,No,5681.1,No
0280-XJGEX,0,Male,49,103.7,Month-to-month,Fiber optic,No,5036.3,Yes
5129-JLPIS,0,Male,25,105.5,Month-to-month,Fiber optic,Yes,2686.05,No
3655-SNQYZ,0,Female,69,113.25,Two year,Fiber optic,Yes,7895.15,No
8191-XWSZG,0,Female,52,20.65,One year,No,No internet service,1022.95,No
9959-WOFKT,0,Male,71,106.7,Two year,Fiber optic,No,7382.25,No
4190-MFLUW,0,Female,10,55.2,Month-to-month,DSL,Yes,528.35,Yes
4183-MYFRB,0,Female,21,90.05,Month-to-month,Fiber optic,No,1862.9,No
8779-QRDMV,1,Male,1,39.65,Month-to-month,DSL,No,39.65,Yes
1680-VDCWW,0,Male,12,19.8,One year,No,No internet service,202.25,No
1066-JKSGK,0,Male,1,20.15,Month-to-month,No,No internet service,20.15,Yes
3638-WEABW,0,Female,58,59.9,Two year,DSL,Yes,3505.1,No
6322-HRPFA,0,Male,49,59.6,Month-to-month,DSL,Yes,2970.3,No
6865-JZNKO,0,Female,30,55.3,Month-to-month,DSL,No,1530.6,No
6467-CHFZW,0,Male,47,99.35,Month-to-month,Fiber optic,No,4749.15,Yes
8665-UTDHZ,0,Male,1,30.2,Month-to-month,DSL,No,30.2,Yes
5248-YGIJN,0,Male,72,90.25,Two year,DSL,Yes,6369.45,No
8773-HHUOZ,0,Female,17,64.7,Month-to-month,DSL,No,1093.1,Yes
3841-NFECX,1,Female,71,96.35,Two year,Fiber optic,Yes,6766.95,No
